Ticker,Name,Sentiment,Market Cap,MC_Weight,Equal_Weight
MA,Mastercard Inc,0.997,280.06,0.26103523,0.065642883
CRM,"Salesforce.com, inc",0.9943,143.135,0.133411689,0.076204202
NFLX,Netflix Inc,0.9993,129.3,0.120516515,0.069249894
UTX,United Technologies Corporation,0.9943,128.938,0.120179106,0.048534443
CVS,CVS Health Corporation,0.9949,96.648,0.0900826,0.058953633
RTN,Raytheon Company,0.9943,60.953,0.056812399,0.07481317
PLD,Prologis Inc,0.9978,56.29,0.052466161,0.054272443
ADI,"Analog Devices, Inc.",0.9942,41.89,0.039044368,0.072653639
ADSK,Autodesk,0.995,35.518,0.033105225,0.061172889
CCL,Carnival Corp,0.9977,30.18,0.028129841,0.053050732
FAST,Fastenal Company,0.997,20.84,0.019424317,0.092768946
DISH,DISH Network Corporation,0.9943,17.725,0.016520922,0.070776854
WAT,Waters Corporation,0.9985,14,0.013048965,0.053953249
AES,AES Corp,0.9991,12.2,0.011371241,0.073203058
M,Macy's,0.9938,5.205,0.004851419,0.074749963
