Ticker,Name,Sentiment,Market Cap,MC_Weight,Equal_Weight
MA,Mastercard Inc,0.997,280.06,0.133520667,0.04236187
CRM,"Salesforce.com, inc",0.9943,143.135,0.068240665,0.029949059
NFLX,Netflix Inc,0.9993,129.3,0.061644727,0.031434371
UTX,United Technologies Corporation,0.9943,128.938,0.061472141,0.038107191
CVS,CVS Health Corporation,0.9949,96.648,0.046077646,0.032944282
RTN,Raytheon Company,0.9943,60.953,0.029059792,0.039594676
PLD,Prologis Inc,0.9978,56.29,0.026836672,0.040093611
ADI,"Analog Devices, Inc.",0.9942,41.89,0.019971366,0.038506941
ADSK,Autodesk,0.995,35.518,0.016933468,0.035993875
CCL,Carnival Corp,0.9977,30.18,0.014388537,0.03774203
FAST,Fastenal Company,0.997,20.84,0.009935623,0.028627165
DISH,DISH Network Corporation,0.9943,17.725,0.008450524,0.027615214
WAT,Waters Corporation,0.9985,14,0.006674603,0.032658006
AES,AES Corp,0.9991,12.2,0.00581644,0.036451806
M,Macys,0.9938,5.205,0.002481522,0.032337388
STT,State Street,0.9933,26.548,0.012656954,0.027048062
MET,MetLife,0.9932,45.007,0.021457419,0.033839779
IT,Gartner,0.9924,14.129,0.006736105,0.020236022
CBRE,"CBRE Group, Inc.",0.9923,18.579,0.008857675,0.030448216
EBAY,eBay,0.9911,28.359,0.013520362,0.034185596
EA,Electronic Arts,0.9909,28.649,0.013658622,0.028657415
MMC,"Marsh & McLennan Companies, Inc.",0.9905,54.08,0.025783038,0.032212391
AMGN,Amgen Inc.,0.9889,133.994,0.063882626,0.028862919
APA,Apache Corporation,0.9875,8.6,0.004100113,0.030470092
CMCSA,Comcast Corporation,0.9874,198.474,0.094623941,0.031386109
JNJ,Johnson &Johnson,0.987,357.776,0.170572342,0.032595066
CAT,Caterpillar Inc.,0.9845,78.212,0.037288147,0.035895329
HP,"Helmerich & Payne, Inc.",0.9836,4.163,0.001984741,0.030195687
ADM,Archer-Daniels-Midland Company,0.9833,23.659,0.011279602,0.034796724
LB,"L Brands, Inc.",0.9831,4.392,0.002093918,0.044753111
